
Train Loss: 0.324, Valid Loss: 0.333810, Accuracy: 0.91
Train Loss: 0.375, Valid Loss: 0.272728, Accuracy: 0.92
Train Loss: 0.226, Valid Loss: 0.240275, Accuracy: 0.93
Train Loss: 0.252, Valid Loss: 0.219174, Accuracy: 0.93
Train Loss: 0.193, Valid Loss: 0.216690, Accuracy: 0.93
Train Loss: 0.338, Valid Loss: 0.199794, Accuracy: 0.94
Train Loss: 0.319, Valid Loss: 0.198033, Accuracy: 0.94
Train Loss: 0.169, Valid Loss: 0.182165, Accuracy: 0.95
Train Loss: 0.215, Valid Loss: 0.180578, Accuracy: 0.94
Train Loss: 0.215, Valid Loss: 0.180225, Accuracy: 0.95
